,g,layers,emb,epoch,kt,avg
0,SF,1,2,0,0.9480662432600899,0.003837853977238331
1,SF,1,2,1,0.9433814072237899,0.011512814042551068
2,SF,1,2,2,0.9448494750412912,0.011929617277135348
3,SF,1,2,3,0.9457620909175505,0.011407622074649189
4,SF,1,2,4,0.9464946253971801,0.010606940385254879
5,SF,1,2,5,0.9464105362755024,0.010627282676264106
6,SF,1,2,6,0.9464840364891305,0.010741172501758097
7,SF,1,2,7,0.9466546683897328,0.010781022408724193
8,SF,1,2,8,0.9460782662681625,0.010959138164648998
9,SF,1,2,9,0.9460515736781658,0.01103117397841823
10,SF,1,2,10,0.9453677109556221,0.011317480228974254
11,SF,1,2,11,0.9430092976636338,0.012610926926393802
12,SF,1,2,12,0.9425161575849677,0.012918567907740102
13,SF,1,2,13,0.941846941427445,0.013227828332439618
14,SF,1,2,14,0.9411753770294775,0.012814073263985627
15,SF,4,2,0,,
16,SF,4,2,1,,
17,SF,4,2,2,,
18,SF,4,2,3,,
19,SF,4,2,4,,
20,SF,4,2,5,,
21,SF,4,2,6,,
22,SF,4,2,7,,
23,SF,4,2,8,,
24,SF,4,2,9,,
25,SF,4,2,10,,
26,SF,4,2,11,,
27,SF,4,2,12,,
28,SF,4,2,13,,
29,SF,4,2,14,,
30,SF,7,2,0,0.9605431998068481,0.002053361942130268
31,SF,7,2,1,0.9592962472239,0.0020883377989008582
32,SF,7,2,2,0.9584934753961601,0.002157039542203173
33,SF,7,2,3,0.9596856267490914,0.0019538300927552654
34,SF,7,2,4,0.9605646123877781,0.0018479152429618378
35,SF,7,2,5,0.9608704723237513,0.0018467969794160053
36,SF,7,2,6,0.9624957683169294,0.001970500539257959
37,SF,7,2,7,0.9638030232954209,0.0021759842018063635
38,SF,7,2,8,0.9666122247160865,0.0018823925776206547
39,SF,7,2,9,0.9677234203826133,0.0017179103723304254
40,SF,7,2,10,0.9679409603382021,0.0016826274199293716
41,SF,7,2,11,0.968677535440092,0.0015747249991648325
42,SF,7,2,12,0.9686944350205529,0.0015697906563049595
43,SF,7,2,13,0.9692491956069512,0.0015373334559981332
44,SF,7,2,14,0.9695123224028409,0.001565229079728136
45,SF,1,4,0,0.9530474140206067,0.007740544015619844
46,SF,1,4,1,0.9596500475454978,0.004087689277451075
47,SF,1,4,2,0.9611262241406309,0.003753075384719524
48,SF,1,4,3,0.9645261396241436,0.0023872067299123014
49,SF,1,4,4,0.9664375991219283,0.0022784224827050487
50,SF,1,4,5,0.9677342078857875,0.0022953498434310025
51,SF,1,4,6,0.9685329740789168,0.002338240958811985
52,SF,1,4,7,0.9691163601700851,0.0022439422392705527
53,SF,1,4,8,0.9698654127714894,0.0020814489746596304
54,SF,1,4,9,0.9702969750998557,0.0021164894890088816
55,SF,1,4,10,0.9706379310079886,0.0019821509757989037
56,SF,1,4,11,0.9708044925228532,0.0019310839951286367
57,SF,1,4,12,0.9709547524929304,0.0018041172296352271
58,SF,1,4,13,0.971053931562335,0.0017700579219611468
59,SF,1,4,14,0.9711184440887296,0.001831042525505411
60,SF,4,4,0,0.9604301836575289,0.0030091439968691685
61,SF,4,4,1,0.9658969170608248,0.0024987031608850307
62,SF,4,4,2,0.9690137196449973,0.0018682753412707618
63,SF,4,4,3,0.9714319819235566,0.0011345950581123148
64,SF,4,4,4,0.9727439847149013,0.0010520113772563816
65,SF,4,4,5,0.9737069955716489,0.001041600962885151
66,SF,4,4,6,0.9742115493300693,0.001055254910486885
67,SF,4,4,7,0.9750185733947561,0.0014998907417726481
68,SF,4,4,8,0.9753907098081107,0.0016212024321599892
69,SF,4,4,9,0.9756732485427794,0.0016825774725508801
70,SF,4,4,10,0.9758138883552038,0.0017565165192952516
71,SF,4,4,11,0.9761229525588397,0.0018696004847800784
72,SF,4,4,12,0.9762728697683526,0.001968499031647648
73,SF,4,4,13,0.9762734312200356,0.0019566755457355906
74,SF,4,4,14,0.9763244410806025,0.001963151856772362
75,SF,7,4,0,0.9689345689480036,0.0020344217069485962
76,SF,7,4,1,0.9709578485028517,0.001265000028372396
77,SF,7,4,2,0.9732171759517725,0.0013936115485161972
78,SF,7,4,3,0.9743577932963982,0.001553960034868698
79,SF,7,4,4,0.974709090968263,0.0016165733201658978
80,SF,7,4,5,0.9750643420211448,0.001761952091361847
81,SF,7,4,6,0.9756352312342121,0.0019367941182293865
82,SF,7,4,7,0.9756512099507268,0.0019624997424519024
83,SF,7,4,8,0.9757581893513094,0.0021985640119860086
84,SF,7,4,9,0.9757666125624089,0.0020362379931072256
85,SF,7,4,10,0.9759295287506988,0.002251742756578315
86,SF,7,4,11,0.9761004468572283,0.0022790060232255995
87,SF,7,4,12,0.9762112594048593,0.0021706098897189287
88,SF,7,4,13,0.975764543935169,0.001791632776899521
89,SF,7,4,14,0.9751996437441864,0.001409181799837645
90,SF,1,8,0,0.9616846582511858,0.003771951884002437
91,SF,1,8,1,0.967892778639692,0.002250117640842141
92,SF,1,8,2,0.9706099323588704,0.0016767888365823334
93,SF,1,8,3,0.9716013736165421,0.0016031778343021956
94,SF,1,8,4,0.9720679287744222,0.0016028816913357775
95,SF,1,8,5,0.9723854116547141,0.001620924083575605
96,SF,1,8,6,0.9727139092667052,0.001701772473695022
97,SF,1,8,7,0.9728910290721942,0.001611047118524325
98,SF,1,8,8,0.9730447903995556,0.0015786616824717066
99,SF,1,8,9,0.9730996450252654,0.0015540215269949464
100,SF,1,8,10,0.9731467141596113,0.0015439061957918405
101,SF,1,8,11,0.9731824256722073,0.0015904459960325136
102,SF,1,8,12,0.973121860354586,0.0015362678370641862
103,SF,1,8,13,0.9732123733932745,0.0015693355848787893
104,SF,1,8,14,0.9731768371186469,0.0015318437953544856
105,SF,4,8,0,0.9690346819927858,0.0010381902462240139
106,SF,4,8,1,0.9734647761286048,0.0012746412267467724
107,SF,4,8,2,0.9755158485206344,0.0019481197474280096
108,SF,4,8,3,0.97607913124984,0.002025965802165096
109,SF,4,8,4,0.9763339544288332,0.0020647750164711127
110,SF,4,8,5,0.9764566109196077,0.002061080278550329
111,SF,4,8,6,0.9765253322913534,0.0020794815579260758
112,SF,4,8,7,0.9765364251157751,0.0020598997696986004
113,SF,4,8,8,0.9766497457812162,0.002077394261312086
114,SF,4,8,9,0.9765364318581261,0.0020541808498002
115,SF,4,8,10,0.9765940333707046,0.0020138883127560694
116,SF,4,8,11,0.9766777650276914,0.0020841677311106204
117,SF,4,8,12,0.9766028111445431,0.0020490208736683164
118,SF,4,8,13,0.9766668493579204,0.0020420619103104685
119,SF,4,8,14,0.9766111163609754,0.0019962871996930475
120,SF,7,8,0,0.9740816316319354,0.0011666401388263966
121,SF,7,8,1,0.9757809068278105,0.001819732884285497
122,SF,7,8,2,0.9761968832278128,0.0018779588153269105
123,SF,7,8,3,0.9763859351615842,0.001997547888100564
124,SF,7,8,4,0.9765036825089013,0.002073463478803891
125,SF,7,8,5,0.9765233869364502,0.0020963160124596535
126,SF,7,8,6,0.9766390149359794,0.0021774776410474245
127,SF,7,8,7,0.9766510603859162,0.0021749093555283572
128,SF,7,8,8,0.9766799642103245,0.0022081999333712155
129,SF,7,8,9,0.9766667832934915,0.002190071831711285
130,SF,7,8,10,0.9767635241904642,0.002254394937084538
131,SF,7,8,11,0.9767276733030619,0.0022776198451915112
132,SF,7,8,12,0.9767740125617607,0.002289223252878147
133,SF,7,8,13,0.9766276632514641,0.002230651535207358
134,SF,7,8,14,0.9766738178577933,0.0022785556010936456
135,SF,1,12,0,0.9664186218951946,0.0016900844228001847
136,SF,1,12,1,0.9723135919339964,0.0012187653018666783
137,SF,1,12,2,0.9735354159985784,0.001314637718135301
138,SF,1,12,3,0.973712889741168,0.0013280793535436386
139,SF,1,12,4,0.9738379813608751,0.0013158782480408148
140,SF,1,12,5,0.9739195922467602,0.0013424295128073576
141,SF,1,12,6,0.9740134471995712,0.0013342527583798825
142,SF,1,12,7,0.9739466908528278,0.001221591097837511
143,SF,1,12,8,0.9739463649508491,0.0011877871691496566
144,SF,1,12,9,0.9738090658168558,0.0011200720622721596
145,SF,1,12,10,0.9736319922786036,0.0010857257324994427
146,SF,1,12,11,0.9735605282158881,0.0011508321107397467
147,SF,1,12,12,0.9733593849724802,0.0011302058217013454
148,SF,1,12,13,0.9731367089061151,0.0012340598807399873
149,SF,1,12,14,0.9730507116081938,0.001334037335599579
150,SF,4,12,0,0.9733048070582097,0.0011410310505031226
151,SF,4,12,1,0.975187248016033,0.0015201451189165798
152,SF,4,12,2,0.9758715175280152,0.0016411004575351688
153,SF,4,12,3,0.9761031969897758,0.00172777172701878
154,SF,4,12,4,0.9762278637967261,0.001818036646841166
155,SF,4,12,5,0.9763762137983495,0.0019641317648657675
156,SF,4,12,6,0.9764978496318768,0.0020818453624275026
157,SF,4,12,7,0.9765486319781573,0.0021322999020238305
158,SF,4,12,8,0.9765519840812157,0.002185957349195786
159,SF,4,12,9,0.976483664932233,0.0022122154106438236
160,SF,4,12,10,0.9765140938573345,0.002313458664646155
161,SF,4,12,11,0.9764549863857411,0.002376241545760327
162,SF,4,12,12,0.9763033721694032,0.0022887300692427527
163,SF,4,12,13,0.9762336288797491,0.002365526391712392
164,SF,4,12,14,0.9762097001215564,0.0023635588485182895
165,SF,7,12,0,0.9751608913206807,0.0017581439306750479
166,SF,7,12,1,0.9761728561016433,0.002004933571615485
167,SF,7,12,2,0.9766200325741254,0.00216400779538086
168,SF,7,12,3,0.9767978607614488,0.0022156869535297115
169,SF,7,12,4,0.9768439095103953,0.0022327689396044307
170,SF,7,12,5,0.9768493925850409,0.0022629643513749236
171,SF,7,12,6,0.9768721357227422,0.0023298430446483387
172,SF,7,12,7,0.9767997535366811,0.002268911284611594
173,SF,7,12,8,0.9763277997281857,0.0021688017492508998
174,SF,7,12,9,0.9765563499888807,0.0021151502441188476
175,SF,7,12,10,0.9765332335977053,0.002207622596777688
176,SF,7,12,11,0.9764126428804956,0.0023300476928801946
177,SF,7,12,12,0.976243666393942,0.0022294253003973512
178,SF,7,12,13,0.9760294777027527,0.002175753548637875
179,SF,7,12,14,0.975996758609788,0.0021499005386824057
180,SF,1,16,0,0.9658846993391407,0.0028521864137337344
181,SF,1,16,1,0.9714973202389332,0.0018576157761476713
182,SF,1,16,2,0.9729146665105313,0.0015737279295135183
183,SF,1,16,3,0.9733159966726929,0.0014974292212244934
184,SF,1,16,4,0.9734115310711831,0.0014275513592761462
185,SF,1,16,5,0.9736804126430627,0.0013135027381895635
186,SF,1,16,6,0.9725506326459132,0.001487359762406289
187,SF,1,16,7,0.9735267947897006,0.0013794012795840375
188,SF,1,16,8,0.9735047239641942,0.0014322273535571704
189,SF,1,16,9,0.9734123206009576,0.0014351333625420488
190,SF,1,16,10,0.973348265527696,0.0013533493413481906
191,SF,1,16,11,0.9732922202018077,0.0013160559194732556
192,SF,1,16,12,0.9731975633666743,0.0012481302561923341
193,SF,1,16,13,0.9729676833010077,0.0013169582486588073
194,SF,1,16,14,0.9727996237369647,0.0014787267693184573
195,SF,4,16,0,0.974963326088473,0.001767020766897606
196,SF,4,16,1,0.976251541594457,0.0021747367964062587
197,SF,4,16,2,0.9766773796198789,0.0023165476993325987
198,SF,4,16,3,0.9767714579417497,0.0022701042354056253
199,SF,4,16,4,0.976820272835829,0.0023289824383381976
200,SF,4,16,5,0.9768506808442277,0.002343672382490219
201,SF,4,16,6,0.9767621115058741,0.0023459492283674096
202,SF,4,16,7,0.9767331689068713,0.0024158797903574276
203,SF,4,16,8,0.9765845107459807,0.002331291073130559
204,SF,4,16,9,0.9764802163241117,0.0023076869056225064
205,SF,4,16,10,0.9764108825435764,0.0023370716754412416
206,SF,4,16,11,0.9763586834332699,0.002432805234853058
207,SF,4,16,12,0.9760458256114021,0.0022348447952912263
208,SF,4,16,13,0.976041110262781,0.002308277348110739
209,SF,4,16,14,0.9759810472255397,0.0021456702009246655
210,SF,7,16,0,0.9756307510875638,0.0018150210823195082
211,SF,7,16,1,0.976393863490812,0.0020333027248305474
212,SF,7,16,2,0.9767583269271549,0.002228878072502263
213,SF,7,16,3,0.9768267978362466,0.0022282392628958096
214,SF,7,16,4,0.9769671660129479,0.0022555634504722597
215,SF,7,16,5,0.9769375042496022,0.0022545925523856205
216,SF,7,16,6,0.9768004453477577,0.002269810267972487
217,SF,7,16,7,0.9767806475029298,0.002423373761640992
218,SF,7,16,8,0.9764965666484724,0.002181995994659663
219,SF,7,16,9,0.9764255874751934,0.002257952217315305
220,SF,7,16,10,0.9762076112086955,0.0023281585976443323
221,SF,7,16,11,0.9761373842511197,0.0023323172407454466
222,SF,7,16,12,0.9758919177971921,0.002130446915708749
223,SF,7,16,13,0.9755216667709439,0.002176113447874386
224,SF,7,16,14,0.9755086399946172,0.0021060897850899932
225,SF,1,20,0,0.9644955512748826,0.002241601606361796
226,SF,1,20,1,0.9720282878340367,0.0013772117161282731
227,SF,1,20,2,0.9734404003224812,0.001542506576719298
228,SF,1,20,3,0.9736905990058,0.001478539515465394
229,SF,1,20,4,0.9738700917029262,0.0014791128633452606
230,SF,1,20,5,0.9738244258955969,0.001470307371777115
231,SF,1,20,6,0.9737832168565953,0.001372506248377988
232,SF,1,20,7,0.9736673992656755,0.001248422209290861
233,SF,1,20,8,0.9734337006160152,0.0012687838245546677
234,SF,1,20,9,0.9735596140153742,0.0012486330279770403
235,SF,1,20,10,0.9734497933223313,0.0014190312353421352
236,SF,1,20,11,0.9734227665303077,0.0014452882855747846
237,SF,1,20,12,0.9732137886253307,0.001184940052838362
238,SF,1,20,13,0.9728796474197005,0.0011879053455170162
239,SF,1,20,14,0.9727986440595975,0.0012494772497139526
240,SF,4,20,0,0.9752890672891212,0.00178268765567941
241,SF,4,20,1,0.9761249961559437,0.0020401741252136637
242,SF,4,20,2,0.9764174698758289,0.002109427519521273
243,SF,4,20,3,0.9765577845404476,0.0020632458251425715
244,SF,4,20,4,0.9766755438973316,0.002169466820428116
245,SF,4,20,5,0.9767091034115498,0.002184021667099115
246,SF,4,20,6,0.9766028904023585,0.002078588560856446
247,SF,4,20,7,0.9766443176579627,0.002245855532931667
248,SF,4,20,8,0.9763479252558316,0.002133057529378216
249,SF,4,20,9,0.9762956025700763,0.002170556272576456
250,SF,4,20,10,0.9762171316327315,0.002224744159809294
251,SF,4,20,11,0.9759660824553874,0.0023058984538487826
252,SF,4,20,12,0.9759171806911565,0.002187299078231534
253,SF,4,20,13,0.975479578206188,0.002124092301595868
254,SF,4,20,14,0.9755731108149919,0.0021016635631848093
255,SF,7,20,0,0.9762860679236367,0.0018773277856221414
256,SF,7,20,1,0.9768656220822892,0.002161778555608804
257,SF,7,20,2,0.9771127113229013,0.002273837790156803
258,SF,7,20,3,0.9767189530601101,0.0021558117219958404
259,SF,7,20,4,0.9769509105231323,0.0023395072346646248
260,SF,7,20,5,0.9768758619425174,0.0024106049668691596
261,SF,7,20,6,0.9767360299891934,0.002371756732374853
262,SF,7,20,7,0.9766057073146875,0.0024217603619135645
263,SF,7,20,8,0.9764295767075659,0.002499547707236226
264,SF,7,20,9,0.9762945281378347,0.0024455520189678895
265,SF,7,20,10,0.9761621646932728,0.002430105332935836
266,SF,7,20,11,0.9757446779897203,0.002569016924100199
267,SF,7,20,12,0.9755134357464403,0.0023239989903388494
268,SF,7,20,13,0.9752213419744452,0.00236650698493323
269,SF,7,20,14,0.9752894265461249,0.002367841950634817
270,ER,1,2,0,0.5824480169241721,0.10516780830709715
271,ER,1,2,1,0.7008154203628311,0.09567967750439656
272,ER,1,2,2,0.7372520141560659,0.09201462207036337
273,ER,1,2,3,0.7536121646795289,0.0972820230373984
274,ER,1,2,4,0.7648062555861149,0.09437061956091365
275,ER,1,2,5,0.7725900262426864,0.09145416802274293
276,ER,1,2,6,0.7779816063490468,0.089639660399302
277,ER,1,2,7,0.7829032131428746,0.08883088060947777
278,ER,1,2,8,0.7874242021607328,0.0876388253879686
279,ER,1,2,9,0.7916074499150393,0.08673224480074257
280,ER,1,2,10,0.7950577444589915,0.0861259011281864
281,ER,1,2,11,0.7983911924041636,0.085478979950904
282,ER,1,2,12,0.8009373028206097,0.08460149995133699
283,ER,1,2,13,0.8038990147518563,0.08375600253041879
284,ER,1,2,14,0.8064050617383515,0.08306606441304697
285,ER,4,2,0,,
286,ER,4,2,1,,
287,ER,4,2,2,,
288,ER,4,2,3,,
289,ER,4,2,4,,
290,ER,4,2,5,,
291,ER,4,2,6,,
292,ER,4,2,7,,
293,ER,4,2,8,,
294,ER,4,2,9,,
295,ER,4,2,10,,
296,ER,4,2,11,,
297,ER,4,2,12,,
298,ER,4,2,13,,
299,ER,4,2,14,,
300,ER,7,2,0,-0.10169629558974717,0.1375622806504799
301,ER,7,2,1,,
302,ER,7,2,2,,
303,ER,7,2,3,,
304,ER,7,2,4,,
305,ER,7,2,5,,
306,ER,7,2,6,,
307,ER,7,2,7,,
308,ER,7,2,8,,
309,ER,7,2,9,,
310,ER,7,2,10,,
311,ER,7,2,11,,
312,ER,7,2,12,,
313,ER,7,2,13,,
314,ER,7,2,14,,
315,ER,1,4,0,0.7600489799253044,0.08724508788207593
316,ER,1,4,1,0.787872865433064,0.0848083938346477
317,ER,1,4,2,0.8037308038917444,0.08203892038780175
318,ER,1,4,3,0.8119501059940321,0.07981467039178905
319,ER,1,4,4,0.8166560446620557,0.0773796070198687
320,ER,1,4,5,0.8204625181121685,0.07398721230209086
321,ER,1,4,6,0.8242039471270617,0.07058225105636463
322,ER,1,4,7,0.8291780406921209,0.06597735792496259
323,ER,1,4,8,0.8416531694738234,0.06187403263040025
324,ER,1,4,9,0.8535001154817795,0.060193173008902236
325,ER,1,4,10,0.8577479637535104,0.059475820265966456
326,ER,1,4,11,0.8594636356609187,0.05847172019383327
327,ER,1,4,12,0.8609914738054478,0.05755682228318926
328,ER,1,4,13,0.8620689726110987,0.056411233223827205
329,ER,1,4,14,0.8637832731782898,0.054846085707822276
330,ER,4,4,0,0.7984761565312268,0.08216557328593661
331,ER,4,4,1,0.8231680522721305,0.06868661059186391
332,ER,4,4,2,0.8331724598987982,0.06533092014812049
333,ER,4,4,3,0.8355118727597624,0.06471917003430609
334,ER,4,4,4,0.8378337667952142,0.06456558472323182
335,ER,4,4,5,0.8437499160333278,0.0638571660171906
336,ER,4,4,6,0.8542963499855574,0.06065212849597426
337,ER,4,4,7,0.8606257849538815,0.06338392354125237
338,ER,4,4,8,0.8650689098350204,0.05923199586603767
339,ER,4,4,9,0.8675874279846342,0.05656137735989683
340,ER,4,4,10,0.8690109206551405,0.05526566745221
341,ER,4,4,11,0.8696107389741631,0.05461570217858362
342,ER,4,4,12,0.8703459000315412,0.05498666381490677
343,ER,4,4,13,0.8711654215917417,0.053916998408441344
344,ER,4,4,14,0.8717219900120051,0.0537617417878339
345,ER,7,4,0,0.7993791159330531,0.09521214762177212
346,ER,7,4,1,0.8125456266513771,0.08352462620146138
347,ER,7,4,2,0.8217518815569868,0.07979498050578512
348,ER,7,4,3,0.8406795980936346,0.0636094728997884
349,ER,7,4,4,0.8418138187377524,0.06192208581556905
350,ER,7,4,5,0.8658380686832858,0.0495149545924429
351,ER,7,4,6,0.8730196491584978,0.049347894680195896
352,ER,7,4,7,0.8780724398022919,0.04497941252019893
353,ER,7,4,8,0.8782337450337593,0.04698272601548626
354,ER,7,4,9,0.8821124967961407,0.043688626584179976
355,ER,7,4,10,0.8814641118908181,0.04298983080534737
356,ER,7,4,11,0.8802932522721818,0.04512872354843744
357,ER,7,4,12,0.8821828633451736,0.04070671559264458
358,ER,7,4,13,0.8840323233363596,0.03963413102964178
359,ER,7,4,14,0.8862582346341232,0.03731373313216554
360,ER,1,8,0,0.8181217743125556,0.07221833603087065
361,ER,1,8,1,0.8295206586926895,0.06693023591752734
362,ER,1,8,2,0.8373802472612573,0.06089095424825124
363,ER,1,8,3,0.8436262857573412,0.05554511347361645
364,ER,1,8,4,0.8487077117076695,0.050918191673631014
365,ER,1,8,5,0.8539650476092504,0.04675736013848976
366,ER,1,8,6,0.8601198738651057,0.04438598894766431
367,ER,1,8,7,0.8650134189085424,0.04459232288207262
368,ER,1,8,8,0.8684052597226042,0.043757493161124525
369,ER,1,8,9,0.8705485160114087,0.043631480846090004
370,ER,1,8,10,0.8724082658057325,0.043689126864881286
371,ER,1,8,11,0.873669916344739,0.04340684007312103
372,ER,1,8,12,0.8747584842985286,0.04320285126215564
373,ER,1,8,13,0.8755504940153559,0.04286268003802465
374,ER,1,8,14,0.8762325647156762,0.0432928241234531
375,ER,4,8,0,0.8576951035276732,0.06930826535560562
376,ER,4,8,1,0.8674757054039377,0.061074257098988366
377,ER,4,8,2,0.8707000183212985,0.05486155307050617
378,ER,4,8,3,0.8730990621892746,0.04792904968296784
379,ER,4,8,4,0.872869441558348,0.04460218240102881
380,ER,4,8,5,0.8723256825240574,0.04328328209877396
381,ER,4,8,6,0.870835522615236,0.043019089816876556
382,ER,4,8,7,0.8722338594221576,0.04064668240340431
383,ER,4,8,8,0.8737632819527832,0.03830285275875812
384,ER,4,8,9,0.8735723518258393,0.03800146568054591
385,ER,4,8,10,0.873857368539617,0.03676741436709098
386,ER,4,8,11,0.8739198727956842,0.03544681247855468
387,ER,4,8,12,0.8728996919295877,0.0365090724430428
388,ER,4,8,13,0.8743697163184908,0.03405587643561085
389,ER,4,8,14,0.8721949946146716,0.0364806959754164
390,ER,7,8,0,0.8401143953708985,0.06395670977039121
391,ER,7,8,1,0.853378915098793,0.060027485099364127
392,ER,7,8,2,0.8579644300628344,0.05515578379389705
393,ER,7,8,3,0.8593238522205802,0.05549752766694908
394,ER,7,8,4,0.8587948772918796,0.05386544800289701
395,ER,7,8,5,0.8558829113937471,0.05155794392114197
396,ER,7,8,6,0.8559696244889252,0.04928909451831177
397,ER,7,8,7,0.8563377691492432,0.04918237412685901
398,ER,7,8,8,0.8572669864716504,0.04929560568707073
399,ER,7,8,9,0.8591953596321048,0.050777727696384445
400,ER,7,8,10,0.8593305044341099,0.05121894968656284
401,ER,7,8,11,0.8589064187505422,0.053134473902057985
402,ER,7,8,12,0.8612698663466238,0.05370710461539566
403,ER,7,8,13,0.863921316685327,0.05741487792456671
404,ER,7,8,14,0.8634309912412809,0.05700350548041544
405,ER,1,12,0,0.830799322768538,0.06756408172590612
406,ER,1,12,1,0.858229552199288,0.047638849139931876
407,ER,1,12,2,0.8687946195646845,0.04336474075893561
408,ER,1,12,3,0.8722521317221554,0.04110019532129407
409,ER,1,12,4,0.8745005667173207,0.04097494890611799
